Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
BLPH,"Bellerophon Therapeutics, Inc.",2.49,$137.4M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blph,
BLCM,"Bellicum Pharmaceuticals, Inc.",8.42,$280.01M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blcm,
BNCL,"Beneficial Bancorp, Inc.",16.7,$1.27B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl,
BNFT,"Benefitfocus, Inc.",26.75,$836.56M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft,
BNTC,Benitec Biopharma Limited,2.98,$30.57M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bntc,
BNTCW,Benitec Biopharma Limited,0.4,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bntcw,
BYSI,"BeyondSpring, Inc.",30.04,$686.26M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bysi,
BGCP,"BGC Partners, Inc.",15.2,$4.39B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp,
BGFV,Big 5 Sporting Goods Corporation,8.15,$174.63M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/bgfv,
BRPA,Big Rock Partners Acquisition Corp.,9.74,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/brpa,
BRPAR,Big Rock Partners Acquisition Corp.,0.37,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/brpar,
BRPAU,Big Rock Partners Acquisition Corp.,10.31,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/brpau,
BRPAW,Big Rock Partners Acquisition Corp.,0.4,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/brpaw,
BASI,"Bioanalytical Systems, Inc.",2.45,$20.2M,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/basi,
ORPN,Bioblast Pharma Ltd.,2.3577,$7.88M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/orpn,
BIOC,"Biocept, Inc.",0.69,$20.88M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/bioc,
BCRX,"BioCryst Pharmaceuticals, Inc.",5.22,$513.67M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx,
