,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
2680,SLAB,"Silicon Laboratories, Inc.",88.8,$3.78B,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/slab,
2681,SIMO,Silicon Motion Technology Corporation,54.25,$1.92B,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/simo,
2682,SPIL,"Siliconware Precision Industries Company, Ltd.",8.31,$5.18B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil,
2683,SRUN,Silver Run Acquisition Corporation II,9.87,$1.28B,2017,Finance,Business Services,http://www.nasdaq.com/symbol/srun,
2686,SAMG,Silvercrest Asset Management Group Inc.,16.25,$214.52M,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/samg,
2687,SSNT,"SilverSun Technologies, Inc.",4.15,$18.64M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ssnt,
2688,SFNC,Simmons First National Corporation,58,$2.67B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfnc,
2689,SLP,"Simulations Plus, Inc.",16.9,$292.11M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/slp,
2690,SINA,Sina Corporation,104.06,$7.44B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sina,
2691,SBGI,"Sinclair Broadcast Group, Inc.",38.15,$3.88B,1995,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi,
2692,SINO,"Sino-Global Shipping America, Ltd.",2.63,$27.45M,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sino,
2693,SVA,"Sinovac Biotech, Ltd.",7.88,$449.31M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sva,
2694,SIRI,Sirius XM Holdings Inc.,5.39,$24.77B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri,
2695,SITO,"SITO Mobile, Ltd.",6.36,$140.1M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sito,
2696,SKYS,"Sky Solar Holdings, Ltd.",1.6,$83.91M,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/skys,
2697,SKLN,Skyline Medical Inc.,1.15,$7.23M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/skln,
2698,SKYW,"SkyWest, Inc.",53.55,$2.78B,1986,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/skyw,
2699,SWKS,"Skyworks Solutions, Inc.",95.82,$17.55B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks,
2700,SNBR,Sleep Number Corporation,37.88,$1.51B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/snbr,
2701,SLM,SLM Corporation,11.35,$4.9B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slm,
2702,SLMBP,SLM Corporation,68.3,$273.2M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/slmbp,
2703,RNSC,Small Cap US Equity Select ETF,21.5176,$2.15M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnsc,
2704,SGH,"SMART Global Holdings, Inc.",34.73,$755.41M,2017,Technology,Semiconductors,http://www.nasdaq.com/symbol/sgh,
2705,SND,"Smart Sand, Inc.",8.6,$347.38M,2016,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/snd,
2706,SMBK,"SmartFinancial, Inc.",22.34,$249.15M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smbk,
2707,SMSI,"Smith Micro Software, Inc.",2.9099,$41.56M,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi,
2708,SMTX,SMTC Corporation,1.87,$31.46M,2000,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx,
2709,LNCE,"Snyder&#39;s-Lance, Inc.",50.05,$4.87B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce,
2710,SRAX,"Social Reality, Inc.",5.7,$53.15M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/srax,
2711,SCKT,"Socket Mobile, Inc.",3.38,$23.7M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/sckt,
2712,SODA,SodaStream International Ltd.,70.12,$1.52B,2010,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/soda,
2713,SOHU,Sohu.com Inc.,44.34,$1.72B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sohu,
2714,SLRC,Solar Capital Ltd.,20.16,$851.98M,2010,n/a,n/a,http://www.nasdaq.com/symbol/slrc,
2715,SUNS,Solar Senior Capital Ltd.,17.6,$282.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/suns,
2716,SEDG,"SolarEdge Technologies, Inc.",37.95,$1.63B,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/sedg,
2717,SLNO,"Soleno Therapeutics, Inc.",1.875,$18.75M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/slno,
2719,SNGX,"Soligenix, Inc.",2.27,$19.82M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sngx,
2721,SONC,Sonic Corp.,28.39,$1.11B,1991,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sonc,
2722,SOFO,"Sonic Foundry, Inc.",2.77,$12.35M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo,
2723,SNOA,"Sonoma Pharmaceuticals, Inc.",4.84,$21.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snoa,
2725,SPHS,"Sophiris Bio, Inc.",2.27,$68.35M,2013,n/a,n/a,http://www.nasdaq.com/symbol/sphs,
2726,SORL,"SORL Auto Parts, Inc.",7.16,$138.22M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/sorl,
2727,ROKA,"Sorrento Tech, Inc.",0.6699,$3.35M,2014,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/roka,
2728,SRNE,"Sorrento Therapeutics, Inc.",3.175,$262.55M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/srne,
2729,SOHO,Sotherly Hotels Inc.,6.4,$88.47M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/soho,
2732,SFBC,"Sound Financial Bancorp, Inc.",33.275,$83.52M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sfbc,
2733,SSB,South State Corporation,88.35,$3.25B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb,
2734,SFST,"Southern First Bancshares, Inc.",41.45,$303.38M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst,
2735,SMBC,"Southern Missouri Bancorp, Inc.",38.8,$333.34M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc,
2736,SONA,"Southern National Bancorp of Virginia, Inc.",16.01,$382.9M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona,
2737,SBSI,"Southside Bancshares, Inc.",33.96,$1.19B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi,
2738,SP,SP Plus Corporation,37.5,$844.53M,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp,
2739,SGRP,"SPAR Group, Inc.",1.2093,$24.88M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sgrp,
2740,SPKE,"Spark Energy, Inc.",11,$380.94M,2014,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spke,
2742,ONCE,"Spark Therapeutics, Inc.",52.72,$1.95B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/once,
2743,SPAR,"Spartan Motors, Inc.",16.3,$572.18M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar,
2744,SPTN,SpartanNash Company,26.56,$981.97M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn,
2745,DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,25.24,$113.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwfi,
2746,SPPI,"Spectrum Pharmaceuticals, Inc.",19.68,$1.98B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi,
2747,SPRO,"Spero Therapeutics, Inc.",12,$55.21M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/spro,
2748,ANY,Sphere 3D Corp.,2.35,$15.74M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any,
2749,SPEX,Spherix Incorporated,1.47,$9.17M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex,
2750,SPI,"SPI Energy Co., Ltd.",0.6851,$49.67M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spi,
2751,SAVE,"Spirit Airlines, Inc.",44.99,$3.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/save,
2752,SPLK,Splunk Inc.,82.59,$11.68B,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk,
2753,SPOK,"Spok Holdings, Inc.",15.8,$315.74M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/spok,
2754,SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",6.57,$279.74M,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spwh,
2755,SBPH,"Spring Bank Pharmaceuticals, Inc.",12.34,$159.82M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sbph,
2756,FUND,"Sprott Focus Trust, Inc.",7.89,$196.27M,n/a,Consumer Services,Miscellaneous,http://www.nasdaq.com/symbol/fund,
2757,SFM,"Sprouts Farmers Market, Inc.",24.51,$3.26B,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm,
2758,SPSC,"SPS Commerce, Inc.",48.74,$839.51M,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc,
2759,SSNC,"SS&C Technologies Holdings, Inc.",40.43,$8.32B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc,
2760,SSRM,SSR Mining Inc.,8.68,$1.04B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssrm,
2761,STAA,STAAR Surgical Company,16.15,$664.8M,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa,
2762,STAF,"Staffing 360 Solutions, Inc.",0.6351,$12.3M,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/staf,
2763,STMP,Stamps.com Inc.,183.95,$3.22B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/stmp,
2764,STLY,"Stanley Furniture Company, Inc.",0.8448,$12.74M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/stly,
2765,SBLK,Star Bulk Carriers Corp.,10.85,$688.06M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk,
2768,SBUX,Starbucks Corporation,57.27,$81.48B,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux,
2769,STFC,State Auto Financial Corporation,28.61,$1.21B,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc,
2770,STBZ,State Bank Financial Corporation.,29.95,$1.17B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz,
2771,STDY,SteadyMed Ltd.,3.65,$96.93M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stdy,
2772,GASS,"StealthGas, Inc.",4.21,$167.81M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass,
2773,STLD,"Steel Dynamics, Inc.",43.19,$10.23B,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld,
2774,SMRT,"Stein Mart, Inc.",1.18,$56.58M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt,
2775,STLR,Stellar Acquisition III Inc.,10.1899,$91.81M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/stlr,
2778,SBOT,"Stellar Biotechnologies, Inc.",0.8125,$8.55M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sbot,
2779,STML,"Stemline Therapeutics, Inc.",14.6,$369.19M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml,
2780,SRCL,"Stericycle, Inc.",67.82,$5.79B,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl,
2782,SBT,"Sterling Bancorp, Inc.",12.72,$673.69M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sbt,
2783,STRL,Sterling Construction Company Inc,16.8,$454.46M,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl,
2784,SHOO,"Steven Madden, Ltd.",46.8,$2.77B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo,
2785,SSFN,Stewardship Financial Corp,10,$86.45M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn,
2786,SFIX,"Stitch Fix, Inc.",28.7,$2.78B,2017,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/sfix,
2787,SYBT,"Stock Yards Bancorp, Inc.",38.4,$870.55M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt,
2788,BANX,StoneCastle Financial Corp,20.05,$131.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banx,
2789,SSKN,"Strata Skin Sciences, Inc.",1.196,$4.88M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/sskn,
2790,SSYS,"Stratasys, Ltd.",20.51,$1.09B,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys,
2791,STRT,Strattec Security Corporation,41,$150.52M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/strt,
2792,STRS,Stratus Properties Inc.,29.75,$241.97M,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/strs,
2793,STRA,"Strayer Education, Inc.",91.54,$979.58M,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stra,
2794,STRM,"Streamline Health Solutions, Inc.",1.67,$33.37M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/strm,
2795,SBBP,Strongbridge Biopharma plc,6.75,$268.73M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sbbp,
2796,STB,Student Transportation Inc,6.14,$582.57M,n/a,Transportation,Other Transportation,http://www.nasdaq.com/symbol/stb,
2797,SCMP,"Sucampo Pharmaceuticals, Inc.",17.975,$838.3M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp,
2798,SUMR,"Summer Infant, Inc.",1.44,$26.8M,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sumr,
2799,SMMF,"Summit Financial Group, Inc.",26.4,$328.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smmf,
2800,SSBI,Summit State Bank,12.6,$76.12M,2006,n/a,n/a,http://www.nasdaq.com/symbol/ssbi,
2801,SMMT,Summit Therapeutics plc,11.2,$158.21M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/smmt,
2802,SNBC,"Sun Bancorp, Inc.",24.45,$466.91M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/snbc,
2803,SNHY,Sun Hydraulics Corporation,64.24,$1.74B,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/snhy,
2804,SNDE,Sundance Energy Australia Limited,5.98,$74.94M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/snde,
2805,SNSS,"Sunesis Pharmaceuticals, Inc.",3.59,$122.95M,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snss,
2806,STKL,"SunOpta, Inc.",7.9,$685.2M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/stkl,
2807,SPWR,SunPower Corporation,8.79,$1.23B,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr,
2808,RUN,Sunrun Inc.,5.87,$626.84M,2015,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/run,
2809,SBCP,"Sunshine Bancorp, Inc.",23.19,$186.13M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sbcp,
2810,SUNW,"Sunworks, Inc.",1.1864,$26.64M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/sunw,
2811,SMCI,"Super Micro Computer, Inc.",20.95,$1.02B,2007,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/smci,
2812,SPCB,"SuperCom, Ltd.",3.88,$57.96M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spcb,
2813,SCON,Superconductor Technologies Inc.,1.11,$11.94M,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/scon,
2814,SGC,"Superior Uniform Group, Inc.",27.25,$405.01M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sgc,
2815,SUPN,"Supernus Pharmaceuticals, Inc.",38.7,$1.98B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn,
2816,SPRT,"support.com, Inc.",2.46,$46.04M,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/sprt,
2817,SGRY,"Surgery Partners, Inc.",12.1,$590.11M,2015,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/sgry,
2818,SRDX,"Surmodics, Inc.",28.5,$373.31M,1998,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/srdx,
2819,SBBX,Sussex Bancorp,26.1,$157.65M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbbx,
2820,SIVB,SVB Financial Group,234.89,$12.39B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb,
2821,SYKE,"Sykes Enterprises, Incorporated",31.63,$1.36B,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/syke,
2822,SYMC,Symantec Corporation,28.45,$17.64B,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc,
2823,SYNC,"Synacor, Inc.",2.4,$92.85M,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/sync,
2824,SYNL,Synalloy Corporation,13.4,$116.96M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/synl,
2825,SYNA,Synaptics Incorporated,40.25,$1.37B,2002,Technology,Semiconductors,http://www.nasdaq.com/symbol/syna,
2826,SNCR,"Synchronoss Technologies, Inc.",8.99,$427.16M,2006,Technology,EDP Services,http://www.nasdaq.com/symbol/sncr,
2827,SNDX,"Syndax Pharmaceuticals, Inc.",8.52,$207.8M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sndx,
2828,SGYP,"Synergy Pharmaceuticals, Inc.",2.27,$510.65M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgyp,
2829,SYBX,"Synlogic, Inc.",9.87,$160.74M,2015,n/a,n/a,http://www.nasdaq.com/symbol/sybx,
2830,SNPS,"Synopsys, Inc.",85.71,$12.75B,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps,
2831,SYNT,"Syntel, Inc.",24.4,$2.02B,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/synt,
2832,SES,"Synthesis Energy Systems, Inc.",2.8162,$3.85M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ses,
2833,SYPR,"Sypris Solutions, Inc.",1.3695,$29.34M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sypr,
2834,SYRS,"Syros Pharmaceuticals, Inc.",9.9,$260.33M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/syrs,
2835,TROW,"T. Rowe Price Group, Inc.",105.02,$25.45B,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow,
2836,TTOO,"T2 Biosystems, Inc.",4.06,$145.45M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ttoo,
2837,TRHC,"Tabula Rasa HealthCare, Inc.",28.89,$515.66M,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/trhc,
2838,TCMD,"Tactile Systems Technology, Inc.",29.72,$526.1M,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tcmd,
2839,TAIT,Taitron Components Incorporated,1.6898,$9.41M,1995,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tait,
2840,TTWO,"Take-Two Interactive Software, Inc.",107.8,$12.29B,1997,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ttwo,
2841,TLND,Talend S.A.,37.02,$1.08B,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tlnd,
2842,TNDM,"Tandem Diabetes Care, Inc.",2.42,$24.49M,2013,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tndm,
2843,TLF,"Tandy Leather Factory, Inc.",7.7,$71.39M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/tlf,
2844,TANH,Tantech Holdings Ltd.,2.73,$78.36M,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/tanh,
2845,TPIV,TapImmune Inc.,4.05,$42.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tpiv,
2846,TEDU,"Tarena International, Inc.",14.49,$820.98M,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tedu,
2847,TATT,TAT Technologies Ltd.,10.45,$92.46M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/tatt,
2848,TAYD,"Taylor Devices, Inc.",12.4831,$43.13M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tayd,
2849,CGBD,"TCG BDC, Inc.",18.98,$1.18B,2017,n/a,n/a,http://www.nasdaq.com/symbol/cgbd,
2850,TCPC,TCP Capital Corp.,15.36,$903.05M,2012,n/a,n/a,http://www.nasdaq.com/symbol/tcpc,
2851,AMTD,TD Ameritrade Holding Corporation,51.21,$29.03B,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd,
2852,PETZ,"TDH Holdings, Inc.",5.95,$54.89M,2017,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/petz,
2853,TECD,Tech Data Corporation,97.67,$3.73B,1986,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/tecd,
2854,TCCO,Technical Communications Corporation,9.15,$16.83M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/tcco,
2855,TTGT,"TechTarget, Inc.",13.83,$381.67M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ttgt,
2856,TGLS,Tecnoglass Inc.,7.48,$256.16M,2012,Consumer Durables,Electronic Components,http://www.nasdaq.com/symbol/tgls,
2857,TGEN,Tecogen Inc.,2.54,$62.8M,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tgen,
2858,TNAV,"Telenav, Inc.",5.5,$243.72M,2010,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tnav,
2859,TTEC,"TeleTech Holdings, Inc.",40.65,$1.86B,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/ttec,
2860,TLGT,"Teligent, Inc.",3.6,$192.24M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tlgt,
2861,TELL,Tellurian Inc.,9.96,$2.23B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tell,
2862,TENX,"Tenax Therapeutics, Inc.",0.552,$15.59M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/tenx,
2863,GLBL,"TerraForm Global, Inc.",5.1,$884.56M,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/glbl,
2864,TERP,"TerraForm Power, Inc.",11.56,$1.71B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/terp,
2865,TBNK,Territorial Bancorp Inc.,31.55,$311.73M,2009,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tbnk,
2866,TSRO,"TESARO, Inc.",82.85,$4.51B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tsro,
2867,TSLA,"Tesla, Inc. ",311.64,$52.38B,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tsla,
2868,TESS,TESSCO Technologies Incorporated,22.15,$185.58M,1994,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tess,
2869,TTEK,"Tetra Tech, Inc.",48.35,$2.69B,1991,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/ttek,
2870,TTPH,"Tetraphase Pharmaceuticals, Inc.",6.19,$318.26M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ttph,
2871,TCBI,"Texas Capital Bancshares, Inc.",90.3,$4.48B,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi,
2873,TCBIP,"Texas Capital Bancshares, Inc.",25.6,$153.6M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbip,
2875,TXN,Texas Instruments Incorporated,104.53,$103.02B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn,
2876,TXRH,"Texas Roadhouse, Inc.",53.86,$3.83B,2004,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/txrh,
2877,TFSL,TFS Financial Corporation,14.91,$4.19B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tfsl,
2878,TGTX,"TG Therapeutics, Inc.",8.4,$593.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tgtx,
2879,ANDE,"The Andersons, Inc.",31.65,$898.86M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/ande,
2880,TBBK,"The Bancorp, Inc.",9.96,$556.36M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tbbk,
2882,CG,The Carlyle Group L.P.,23.1,$7.73B,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg,
2884,CAKE,The Cheesecake Factory Incorporated,49.45,$2.26B,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cake,
2885,CHEF,"The Chefs&#39; Warehouse, Inc.",20.7,$589.16M,2011,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/chef,
2886,TCFC,The Community Financial Corporation,38.29,$178.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcfc,
2887,DSGX,The Descartes Systems Group Inc.,28.35,$2.18B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dsgx,
2888,DXYN,"The Dixie Group, Inc.",3.9,$62.95M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/dxyn,
2889,ENSG,"The Ensign Group, Inc.",21.93,$1.12B,2007,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ensg,
2890,XONE,The ExOne Company,9.07,$146.56M,2013,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/xone,
2891,FINL,"The Finish Line, Inc.",13.88,$559.73M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/finl,
